Pos: Point2D.Double[2571.2771427895, 60.28026620185523]
Vel: Point2D.Double[5.121706071930579, 0.4519084118183899]
Pos: Point2D.Double[-491.9702547617138, -22.15611788777657]
Vel: Point2D.Double[-0.56995513797041, 0.2455681028567952]
Pos: Point2D.Double[674.8123482218543, -97.67237199553361]
Vel: Point2D.Double[1.8630197924533312, -0.7924751476378956]
Pos: Point2D.Double[152.11236670411478, -818.4580479859246]
Vel: Point2D.Double[1.183190887918368, -2.2506364745012055]
Pos: Point2D.Double[1653.555408578476, -1010.305812101598]
Vel: Point2D.Double[3.506085714689738, -2.0195930388801147]
Pos: Point2D.Double[2243.2836545283803, 255.30114792523008]
Vel: Point2D.Double[4.800435178975127, 0.9421293555720538]
Pos: Point2D.Double[1272.203631118559, -1085.8001806865643]
Vel: Point2D.Double[2.625801624109049, -1.8363249781097477]
Pos: Point2D.Double[-1104.883204186814, -1556.7017685967962]
Vel: Point2D.Double[-2.588991600896827, -3.258419591538767]
Pos: Point2D.Double[847.6414326485002, -7.849209591146977]
Vel: Point2D.Double[2.081960662396678, -0.5403012978223343]
Pos: Point2D.Double[694.8671466696843, 352.64641457995737]
Vel: Point2D.Double[1.6975852196941834, 0.6040724157847367]
Pos: Point2D.Double[-131.15345039209822, -719.6412773981574]
Vel: Point2D.Double[-2.6995162106409345, -2.0972527173885163]
Pos: Point2D.Double[1070.3536247996226, -1801.8140167780712]
Vel: Point2D.Double[1.8768612865820085, -3.2991351158379834]
Pos: Point2D.Double[-1898.8329748464885, -156.88734895143025]
Vel: Point2D.Double[-3.472473187172981, -0.6867555595879797]
Pos: Point2D.Double[-1191.6431139673687, -1451.6809914271955]
Vel: Point2D.Double[-2.160918428763514, -3.3398413021202664]
Pos: Point2D.Double[-585.1288364200531, -2057.383913913611]
Vel: Point2D.Double[-1.3824394255523724, -3.709762891670095]
Pos: Point2D.Double[295.1248830175851, 923.7312089583411]
Vel: Point2D.Double[0.8310898910636338, 1.432640224411322]
Pos: Point2D.Double[416.7863289012716, 1905.9674430886992]
Vel: Point2D.Double[0.1095990901926212, 3.1500966928175966]
Pos: Point2D.Double[-1319.4325706560833, -1388.0840404092987]
Vel: Point2D.Double[-1.4658760024425883, -0.992997040428565]
Pos: Point2D.Double[660.5116648192317, 1416.6037943476151]
Vel: Point2D.Double[0.8743850154695698, 3.3811228115610032]
Pos: Point2D.Double[409.9493896472082, 1903.438588302143]
Vel: Point2D.Double[2.2288827383188257, 3.4264959789811176]
Pos: Point2D.Double[268.7964547311155, -121.77910814976208]
Vel: Point2D.Double[0.0603524261157803, -0.19283351327395468]
Pos: Point2D.Double[1622.4818273381948, 1107.770240407197]
Vel: Point2D.Double[3.693548065786101, 2.3752653050300347]
Pos: Point2D.Double[-2417.7220556511934, -1971.2079399411216]
Vel: Point2D.Double[-4.431827856089264, -3.8032300727638266]
Pos: Point2D.Double[853.7168061238689, -1849.1788078109337]
Vel: Point2D.Double[1.1530462076406436, -3.273673392780409]
Pos: Point2D.Double[-1117.0360662727649, 2427.5797821852743]
Vel: Point2D.Double[-2.0597971949967766, 5.130534685162548]
Pos: Point2D.Double[840.3869028634147, -215.7254186145413]
Vel: Point2D.Double[1.529003266711916, -0.8044401650423071]
Pos: Point2D.Double[-1058.8426624695303, 788.9224091861764]
Vel: Point2D.Double[-2.46325894789434, 1.648215707746812]
Pos: Point2D.Double[-423.4236892279927, 2809.5861720766798]
Vel: Point2D.Double[-0.3859452499203971, 5.052268659567765]
Pos: Point2D.Double[-2378.68739785067, -1120.7674635912117]
Vel: Point2D.Double[-4.513653053573739, -2.6241733434147703]
Pos: Point2D.Double[87.49379094086899, -838.714037716425]
Vel: Point2D.Double[-0.7192079651359435, -3.399390240150864]
Pos: Point2D.Double[3105.6486848623485, -1415.4224057184954]
Vel: Point2D.Double[6.167264667182215, -3.096483896591016]
Pos: Point2D.Double[-1318.0312416056436, -1400.6232380807135]
Vel: Point2D.Double[-4.5837097480632005, -3.5785467847307677]
Pos: Point2D.Double[2320.132518251357, 2251.2329879034373]
Vel: Point2D.Double[4.0457542413417515, 4.057386430559727]
Pos: Point2D.Double[1318.1677573016393, -566.0602332154234]
Vel: Point2D.Double[2.3339391554915805, -1.0290820706452575]
Pos: Point2D.Double[55.838663797363004, -1789.6202417905456]
Vel: Point2D.Double[0.4981966781846124, -3.490660395819157]
Pos: Point2D.Double[1653.9604772063767, 2232.773009475626]
Vel: Point2D.Double[3.6901516272193886, 4.156191362340962]
Pos: Point2D.Double[-1444.946968528893, -1770.4369032020008]
Vel: Point2D.Double[-2.475391896728972, -3.6560529499577936]
Pos: Point2D.Double[668.3044256865418, 692.3426056829937]
Vel: Point2D.Double[1.2847650852330093, 1.7429566772310126]
Pos: Point2D.Double[911.9311660194919, 198.2134632834218]
Vel: Point2D.Double[2.1917716027379575, 0.6340473399600481]
Pos: Point2D.Double[2366.739251976393, 279.85928996567793]
Vel: Point2D.Double[4.369541150259232, 0.6701158012641454]
Pos: Point2D.Double[-15.129980021560366, -1341.9855894940122]
Vel: Point2D.Double[-0.18220307904128719, -2.8980956958692667]
Pos: Point2D.Double[222.70127496329692, -524.1834316827282]
Vel: Point2D.Double[-1.1101795202931324, 2.937191461756748]
Pos: Point2D.Double[-169.13898733829967, -3316.0085273248014]
Vel: Point2D.Double[-0.39831812820490653, -6.3568562417803145]
Pos: Point2D.Double[-850.0735975834168, 1310.80984479614]
Vel: Point2D.Double[-1.6287100248752326, 3.035799634916417]
Pos: Point2D.Double[2270.6498291054013, 1405.4471050380455]
Vel: Point2D.Double[4.696727616078026, 2.3603195186383488]
Pos: Point2D.Double[596.0271933503327, -922.2868752571237]
Vel: Point2D.Double[0.6681612298080164, -1.8303311994846967]
Pos: Point2D.Double[211.0782068634961, -514.8253487062462]
Vel: Point2D.Double[4.086832963824158, -2.5506212230676266]
Pos: Point2D.Double[-262.38168558581685, 16.017599782380305]
Vel: Point2D.Double[-0.8798088419270724, 0.032909276615439256]
Pos: Point2D.Double[-2412.8642197057, -1211.2435219823724]
Vel: Point2D.Double[-5.3118773770623875, -2.2947538498696645]
Pos: Point2D.Double[-1704.8018810885792, 940.3694503182159]
Vel: Point2D.Double[-3.096340812614873, 1.5096418706391077]
